year,province,gdp,gdp_1,gdp_2,gdp_3,gdp_per,gdp_1_proportion,gdp_2_proportion,gdp_3_proportion,gdp_index,gdp_index_1,gdp_index_2,gdp_index_3,gdp_index_per
1952,北京市,7.88,1.75,3.05,3.08,170,22.2081,38.7056,39.0863,102.1,99.2,107.8,98.7,
1952,天津市,12.8,1.85,6.31,4.64,299,14.4531,49.2969,36.25,112.2,112.4,104.4,121.1,
1952,河北省,40.49,25.23,7.61,7.65,125,62.3117,18.7948,18.8936,100,100,100,100,
1952,山西省,16,9.4,2.7,3.9,116,58.75,16.875,24.375,100,100,100,100,
1952,内蒙古自治区,12.16,8.64,1.37,2.15,173,71.0526,11.2664,17.6809,100,100,100,100,
1952,中国,679.1,342.9,141.1,195.1,119,50.5,20.8,28.7,,,,,
1952,辽宁省,41.38,12,20,9.38,218,28.9995,48.3325,22.668,100,100,100,100,
1952,吉林省,16.55,9.19,4.54,2.82,153,55.5287,27.432,17.0393,100,100,100,100,
1952,黑龙江省,26,11.92,7.84,6.24,238,45.8462,30.1538,24,100,100,100,100,
1952,上海市,36.66,2.17,19.22,15.27,,5.9193,52.4277,41.653,100,100,100,100,
1952,江苏省,48.41,25.49,8.53,14.39,131,52.6544,17.6203,29.7253,100,100,100,100,
1952,浙江省,24.53,16.28,2.78,5.47,12,66.3677,11.3331,22.2992,115.07,116.69,114.29,111.23,
1952,安徽省,22.88,17.18,2.27,3.43,78,75.0874,9.9213,14.9913,100,100,100,100,
1952,福建省,12.73,8.39,2.42,1.92,102,65.9073,19.0102,15.0825,123.3,112.1,131.5,119.3,
1952,江西省,18.86,12.38,2.47,4.01,114,65.6416,13.0965,21.2619,123.6,124.4,131.6,112.9,
1952,山东省,43.41,28.55,7.87,6.99,91,65.7683,18.1295,16.1023,100,100,100,100,
1952,河南省,36.09,22.46,8.23,5.4,82.8,62.2333,22.8041,14.9626,106.1,101.1,138.3,129.2,
1952,湖北省,24.51,13.9,3.83,6.78,90,56.7115,15.6263,27.6622,100,100,100,100,
1952,湖南省,27.81,18.72,3.43,5.66,86,67.3139,12.3337,20.3524,100,100,100,100,
1952,广东省,29.52,14.39,6.7,8.43,101.41,48.7466,22.6965,28.5569,116.28,113.3,117.1,123.01,
1952,广西壮族自治区,12.81,8.34,2.95,1.52,66.57,65.1054,23.0289,11.8657,100,100,100,100,
1952,四川省,31.69,21.18,4.55,5.96,69,66.835,14.3578,18.8072,100,100,100,100,
1952,贵州省,8.55,5.85,1.59,1.11,58,68.4211,18.5965,12.9825,110.8,106.3,132.8,121.7,
1952,云南省,11.78,7.27,1.82,2.69,70,61.7148,15.4499,22.8353,111.5,111.9,129.4,113.5,
1952,陕西省,12.85,8.4,1.92,2.53,85,65.3696,14.9416,19.6887,109.9,98.4,134,185.9,
1952,甘肃省,13.32,8.66,1.73,2.93,125,65.015,12.988,21.997,100,100,100,100,
1952,青海省,1.63,1.2,0.12,0.31,101,73.6196,7.362,19.0184,109.09,100.81,120,155,
1952,宁夏回族自治区,1.73,1.43,0.08,0.22,126,82.659,4.6243,12.7168,121.4,121.8,118.6,118.7,
1952,新疆维吾尔自治区,7.91,5.12,1.74,1.05,166,64.7282,21.9975,13.2743,100,100,100,100,
1953,北京市,19.28,3.37,7.85,8.06,394,17.4793,40.7158,41.805,237.3,193.3,259.7,239.5,
1953,天津市,17.58,1.76,8.49,7.33,393,10.0114,48.2935,41.6951,133.4,96.6,135.6,147.8,
1953,河北省,42.48,24.1,8.38,10,128,56.7326,19.7269,23.5405,99.6,88.3,109.1,127.3,
1953,山西省,19.9,11.1,3.5,5.3,141,55.7789,17.5879,26.6332,116.7,105.6,125.7,137.2,
1953,内蒙古自治区,15.57,10.44,2.25,2.88,211,67.052,14.4509,18.4971,116.3,107.5,159.9,127.4,
1953,中国,824.4,378,191.6,254.8,142,45.9,23.2,30.9,115.62,101.88,135.82,124.85,113.13
1953,辽宁省,52.85,12.3,26.14,14.41,266,23.2734,49.4607,27.2658,130.8,101.6,139.6,151.5,
1953,吉林省,18.97,8.94,6,4.03,166,47.127,31.6289,21.2441,108.5,91.2,129.5,137.6,
1953,黑龙江省,31.99,12.92,10.72,8.35,278,40.3876,33.5105,26.1019,110.3,98.4,137.1,120.8,
1953,上海市,51.71,2.51,28.75,20.45,590,4.854,55.5985,39.5475,138.5,117.5,146.1,131.9,
1953,江苏省,53.42,25.86,10.26,17.3,141,48.4088,19.2063,32.3849,106.9,101,121,116.6,
1953,浙江省,27.24,16.55,3.86,6.83,122,60.7562,14.1703,25.0734,109.8,101.8,123,127,
1953,安徽省,26.99,19.94,2.9,4.15,89,73.8792,10.7447,15.3761,101.22,99.58,122.99,102.69,
1953,福建省,14.38,8.89,3.16,2.33,112,61.822,21.975,16.2031,112.6,103.8,131.8,121.4,
1953,江西省,19.71,12.26,2.89,4.56,118,62.2019,14.6626,23.1355,101.3,98.8,122,115.6,
1953,山东省,45.79,28.23,9.3,8.26,94,61.651,20.3101,18.0389,102.06,92.72,127.81,113.71,
1953,河南省,41.3,25.08,10.16,6.06,93.9,60.7264,24.6005,14.6731,107,103.7,126.3,113.8,
1953,湖北省,30.23,16.41,5.33,8.49,109,54.2838,17.6315,28.0847,114,107.4,129.4,122.7,
1953,湖南省,30.29,18.48,4.28,7.53,91,61.0102,14.1301,24.8597,108.4,99.9,131.5,128.1,
1953,广东省,41.23,21.03,9.26,10.94,138.96,51.0065,22.4594,26.5341,114.94,106.01,140.97,123.02,
1953,广西壮族自治区,14.24,8.71,3.48,2.05,72.65,61.1657,24.4382,14.3961,108.8,104,107.52,140.08,
1953,四川省,35.68,23.42,6.11,6.14,76,65.639,17.1244,17.2085,,,,,
1953,贵州省,10.01,6.47,1.97,1.57,66,64.6354,19.6803,15.6843,124.5,114.2,122,182.2,
1953,云南省,14.86,8.87,2.88,3.11,87,59.6904,19.3809,20.9287,120.8,114.7,157.8,112.5,
1953,陕西省,17.44,11.03,2.84,3.57,111,63.2454,16.2844,20.4702,123.6,117,147.8,135.7,
1953,甘肃省,13.86,8.87,1.8,3.19,126,63.9971,12.987,23.0159,105.01,102.53,110.92,107.51,
1953,青海省,1.74,1.24,0.2,0.3,106,71.2644,11.4943,17.2414,101.79,96.8,166.67,96.77,
1953,宁夏回族自治区,1.68,1.31,0.11,0.26,115,77.9762,6.5476,15.4762,102.8,96.8,135.3,118.5,
