year,province,bank_type_bfi,outlet_num,outlet_employees,outlet_assets,corporate_ins_num,outlet_pert
1981,中国,农村信用社,,277244,,55044,
1982,中国,农村信用社,,299312,,55044,
1983,中国,农村信用社,,320577,,55953,
1984,中国,农村信用社,,349754,,58255,
1985,中国,农村信用社,,370345,,58603,
1986,中国,农村信用社,,401799,,59194,
1987,中国,城市信用社,,26497,,1615,
1987,中国,农村信用社,,433866,,60872,
1988,中国,城市信用社,,49768,,3256,
1988,中国,农村信用社,,471910,,60897,
1989,中国,城市信用社,,60308,,3409,
1989,中国,农村信用社,,488116,,58418,
1990,中国,城市信用社,,68687,,3421,
1990,中国,农村信用社,,517083,,58200,
1991,中国,城市信用社,,77382,,3518,
1991,中国,农村信用社,,539226,,57927,
1992,中国,城市信用社,,90981,,4001,
1992,中国,农村信用社,,563163,,52763,
1992,中国,财务公司,,,,29,
1993,中国,城市信用社,,122675,,4957,
1993,中国,农村信用社,,594017,,50865,
1993,中国,财务公司,,,,51,
1994,中国,城市信用社,,161279,,5229,
1994,中国,农村信用社,,614501,,50745,
1994,中国,财务公司,,,,53,
1995,中国,城市信用社,,143493,,5104,
1995,中国,农村信用社,,634245,,50219,
1995,中国,财务公司,,,,65,
1996,中国,政策性银行,,39869,,1848,
1996,中国,城市信用社,,,,4630,
1996,中国,农村信用社,,648613,,49692,
1996,中国,财务公司,,,,67,
1997,中国,政策性银行,,51576,,2251,
1997,中国,城市商业银行,,731,,,
1997,中国,城市信用社,,135569,,3716,
1997,中国,农村信用社,,650122,,50513,
1997,中国,财务公司,,,,71,
1998,中国,政策性银行,,58494,,2409,
1998,中国,城市信用社,,,,3190,
1998,中国,农村信用社,,645285,,44258,
1998,中国,财务公司,,,,71,
1999,中国,城市商业银行,,46000,,90,
1999,中国,城市信用社,,115432,,836,
1999,中国,农村信用社,,642273,,41755,
1999,中国,财务公司,,3280,,70,
2000,中国,城市商业银行,,107939,,4217,
2000,中国,农村信用社,,105949,,2517,
2001,中国,城市商业银行,,108567,,4593,
2001,中国,农村信用社,,615550,,100520,
2002,中国,合计,,1827325,,108631,
2003,中国,合计,,1776776,,97802,
2004,北京市,外资银行,,,,24,
2004,北京市,农村信用社,,,,696,
2004,北京市,财务公司,,,,9,
2004,北京市,信托公司,,,,4,
2004,天津市,城市商业银行,,,,1,
2004,天津市,财务公司,,,,1,
2004,天津市,信托公司,,,,2,
2004,河北省,城市商业银行,,,,6,
2004,山西省,政策性银行,,,,2,
2004,山西省,大型商业银行,,,,4,
2004,山西省,股份制商业银行,,,,5,
2004,山西省,城市商业银行,,,,2,
2004,中国,政策性银行,,55417,,3,
2004,中国,外资银行,,7583,,14,
2004,中国,合计,,2293734,,33862,
2004,中国,大型商业银行,,1284088,,4,
2004,中国,股份制商业银行,,129893,,12,
2004,中国,城市商业银行,,109011,,112,
2004,中国,城市信用社,,33836,,681,
2004,中国,农村合作银行,,7180,,12,
2004,中国,农村商业银行,,4785,,7,
2004,中国,农村信用社,,651664,,32869,
2004,中国,信托公司,,6267,,59,
2004,吉林省,财务公司,,,,2,
2004,吉林省,信托公司,,,,2,
2004,江苏省,合计,,,,9948,
2004,江苏省,财务公司,,,,3,
2004,江苏省,信托公司,,,,5,
2004,浙江省,政策性银行,,,,85,
2004,浙江省,大型商业银行,,,,3890,
2004,浙江省,股份制商业银行,,,,420,
2004,浙江省,城市信用社,,,,41,
2004,浙江省,农村信用社,,,,4046,
2004,安徽省,城市信用社,,,,30,
2004,安徽省,农村信用社,,,,3640,
2004,福建省,城市商业银行,,,,3,
2004,福建省,城市信用社,,,,26,
2004,福建省,信托公司,,,,2,
2004,江西省,城市商业银行,,,,3,
2004,江西省,城市信用社,,,,7,
2004,山东省,财务公司,,,,2,
2004,山东省,信托公司,,,,3,
2004,河南省,财务公司,,,,2,
2004,河南省,信托公司,,,,2,
2004,湖北省,农村信用社,,,,1,
2004,湖北省,信托公司,,,,2,
2004,湖南省,合计,,,,7716,
2004,广东省,城市商业银行,,,,6,
2004,广东省,农村信用社,,,,1433,
2004,海南省,城市信用社,,,,1,
2004,重庆市,城市商业银行,,,,2,
2004,重庆市,信托公司,,,,2,
2004,四川省,政策性银行,,,,3,
2004,四川省,大型商业银行,,,,4,
2004,四川省,城市商业银行,,,,8,
2004,四川省,城市信用社,,,,5,
2004,四川省,农村信用社,,,,2177,
2004,云南省,政策性银行,,,,2,
2004,云南省,大型商业银行,,,,4,
2004,云南省,股份制商业银行,,,,8,
2004,云南省,城市商业银行,,,,1,
2004,云南省,城市信用社,,,,3,
2004,陕西省,合计,,71927,,6863,
2004,甘肃省,财务公司,,,,1,
2004,甘肃省,信托公司,,,,1,
2004,青海省,信托公司,,,,1,
2004,宁夏回族自治区,城市商业银行,,,,1,
2004,宁夏回族自治区,城市信用社,,,,1,
2004,宁夏回族自治区,信托公司,,,,1,
2004,新疆维吾尔自治区,信托公司,,,,3,
2005,北京市,政策性银行,,684,3773.1,18,
2005,北京市,外资银行,,1200,711.1,124,
2005,北京市,合计,,60970,37766.5,3466,
2005,北京市,大型商业银行,,33923,18593,1566,
2005,北京市,股份制商业银行,,10393,9441.1,458,
2005,北京市,邮政储蓄银行,,3747,377.1,471,
2005,北京市,城市商业银行,,4293,2330.3,119,
2005,北京市,城市信用社,,0,0,0,
2005,北京市,农村信用社,,5975,1328.7,693,
2005,北京市,财务公司,,755,1212.1,17,
2005,天津市,政策性银行,,362,580.7,10,
2005,天津市,外资银行,,377,288.1,20,
2005,天津市,合计,,38990,7533.6,2422,
2005,天津市,大型商业银行,,23382,3750.6,1215,
2005,天津市,股份制商业银行,,3097,1150.8,129,
2005,天津市,邮政储蓄银行,,2634,232.4,349,
2005,天津市,城市商业银行,,3353,699,180,
2005,天津市,农村信用社,,5500,654.2,516,
2005,天津市,财务公司,,285,177.8,3,
2005,河北省,政策性银行,,3797,759.3,165,
2005,河北省,合计,,135512,12328.9,10720,
2005,河北省,大型商业银行,,73876,6978.7,3867,
2005,河北省,股份制商业银行,,2659,686.5,107,
2005,河北省,邮政储蓄银行,,9902,667.6,1250,
2005,河北省,城市商业银行,,5449,524.1,207,
2005,河北省,城市信用社,,2389,175.1,93,
2005,河北省,农村信用社,,37063,2517.4,5024,
2005,河北省,财务公司,,377,20.2,7,
