year,province,slc_num,slc_employee_num,slc_capital,slc_balance
2010 ,北京市,20,203,19.35,18.78
2010 ,天津市,19,183,12.76,10.23
2010 ,河北省,152,1738,87.89,85.94
2010 ,山西省,151,1501,87.53,77.27
2010 ,内蒙古自治区,286,2808,231.42,212.89
2010 ,中国,2614,27884,1780.93,1975.05
2010 ,辽宁省,204,1481,86.88,64.96
2010 ,吉林省,106,822,23.24,17.31
2010 ,黑龙江省,98,851,22.94,19.12
2010 ,上海市,49,383,50.85,64.12
2010 ,江苏省,194,1744,271.78,374.12
2010 ,浙江省,134,1513,225.63,337.23
2010 ,安徽省,176,1638,91.91,106.43
2010 ,福建省,6,61,13.38,19.44
2010 ,江西省,39,480,27.25,31.86
2010 ,山东省,97,1005,87.73,95.13
2010 ,河南省,108,1362,34.53,31.79
2010 ,湖北省,52,399,20.57,25.21
2010 ,湖南省,30,316,13.95,14.22
2010 ,广东省,98,3261,85.04,90.67
2010 ,广西壮族自治区,46,460,14.64,13.07
2010 ,海南省,6,67,6,5.12
2010 ,重庆市,75,1042,55.28,60.32
2010 ,四川省,42,579,51.6,54.79
2010 ,贵州省,79,834,18.46,16.05
2010 ,云南省,127,1128,42,40.92
2010 ,西藏自治区,1,9,0.5,0.75
2010 ,陕西省,60,498,40.82,33
2010 ,甘肃省,65,568,13.9,10.49
2010 ,青海省,5,46,0.91,0.79
2010 ,宁夏回族自治区,61,692,26.86,26
2010 ,新疆维吾尔自治区,28,212,15.36,17.02
2011 ,北京市,28,268,26.55,24.74
2011 ,天津市,25,294,22.44,18.58
2011 ,河北省,160,1826,93.09,90.58
2011 ,山西省,174,1779,98.92,85.62
2011 ,内蒙古自治区,322,3122,259.43,250.92
2011 ,中国,3027,32097,2140.89,2407.66
2011 ,辽宁省,236,1753,103.48,77.06
2011 ,吉林省,134,1060,30.46,21.69
2011 ,黑龙江省,100,868,24.29,20.67
2011 ,上海市,55,456,61.75,76.82
2011 ,江苏省,229,2059,343.87,495.67
2011 ,浙江省,136,1535,249.33,373.64
2011 ,安徽省,202,2015,109.88,123.36
2011 ,福建省,13,122,27.18,31.24
2011 ,江西省,49,571,36.65,42.12
2011 ,山东省,119,1194,110.46,120.31
2011 ,河南省,131,1647,42.55,40.98
2011 ,湖北省,67,512,29.5,35.97
2011 ,湖南省,40,411,19.39,19.16
2011 ,广东省,117,3516,102.82,110.63
2011 ,广西壮族自治区,65,661,22.01,20.85
2011 ,海南省,7,78,7,7.07
2011 ,重庆市,90,1228,71.72,81.76
2011 ,四川省,51,681,59.78,70.4
2011 ,贵州省,87,909,20.61,18.54
2011 ,云南省,151,1337,54.79,49.91
2011 ,西藏自治区,1,9,0.5,0.76
2011 ,陕西省,70,586,49.97,36.48
2011 ,甘肃省,69,599,14.43,10.95
2011 ,青海省,5,46,0.91,1.07
2011 ,宁夏回族自治区,61,705,27.9,27.73
2011 ,新疆维吾尔自治区,33,250,19.23,22.39
2011 ,北京市,30,290,28.05,31.13
2011 ,天津市,28,318,24.94,22.79
2011 ,河北省,173,1959,98.95,99.3
2011 ,山西省,177,1814,100.22,91.94
2011 ,内蒙古自治区,342,3311,275.85,282.14
2011 ,中国,3366,35626,2464.3,2874.66
2011 ,辽宁省,263,1936,116.25,88.87
2011 ,吉林省,151,1219,34.36,26.3
2011 ,黑龙江省,111,946,28.12,25.3
2011 ,上海市,58,475,63.85,87.2
2011 ,江苏省,259,2318,426.46,616.62
2011 ,浙江省,141,1585,276.87,419.16
2011 ,安徽省,217,2178,119.58,141.43
2011 ,福建省,20,184,41.18,47.77
2011 ,江西省,61,753,46.32,53.32
2011 ,山东省,142,1439,133.51,159.6
2011 ,河南省,152,1944,50.17,48.52
2011 ,湖北省,75,588,35.81,46.14
2011 ,湖南省,49,516,25.79,28.64
2011 ,广东省,131,3903,123.03,126.3
2011 ,广西壮族自治区,81,830,30.75,29.47
2011 ,海南省,8,89,7.8,7.76
2011 ,重庆市,91,1233,79.7,92.62
2011 ,四川省,58,765,69.82,88
2011 ,贵州省,98,1012,26.7,25.33
2011 ,云南省,169,1491,63.2,61.08
2011 ,西藏自治区,1,9,0.5,0.76
2011 ,陕西省,93,770,64.18,52.81
2011 ,甘肃省,79,678,16.42,13.01
2011 ,青海省,5,46,1.61,1.73
2011 ,宁夏回族自治区,67,759,30.91,30.23
2011 ,新疆维吾尔自治区,36,268,23.43,29.41
2011 ,北京市,30,290,28.55,35.24
2011 ,天津市,33,360,31.75,30.11
2011 ,河北省,178,2032,103.95,109.37
2011 ,山西省,199,2017,112.53,107.76
2011 ,内蒙古自治区,354,3402,283.39,295.78
2011 ,中国,3791,40366,2823.82,3358.85
2011 ,辽宁省,285,2086,126.95,102.58
2011 ,吉林省,169,1411,37.89,28.52
2011 ,黑龙江省,162,1398,40.93,37.14
2011 ,上海市,64,520,70.45,99.05
2011 ,江苏省,278,2617,457.64,693.49
2011 ,浙江省,160,1769,320.13,486.53
2011 ,安徽省,241,2463,137.94,167.66
