company,financial_attention,financial_course,risk_preference,lottery_preference,answer_interest_rate,knowledge_interest_rate,answer_inflation_rate,knowledge_inflation_rate,answer_stock_fund,knowledge_stock_fund,factor_calculate,factor_judge,factor_attention
201500001,,,,,,,,,,,,,
201500002,,,,,,,,,,,,,
201500003,,,,,,,,,,,,,
201500004,,,,,,,,,,,,,
201500005,,,,,,,,,,,,,
201500006,1,0,3,2,0,1,1,1,0,0,1.22686931,-1.840587157,-1.323048753
201500007,,,,,,,,,,,,,
201500008,,,,,,,,,,,,,
201500009,,,,,,,,,,,,,
201500010,,,,,,,,,,,,,
201500011,4,0,2,2,0,1,0,0,1,1,-0.772472082,0.890358096,-0.105164538
201500012,,,,,,,,,,,,,
201500013,4,1,4,1,1,1,0,1,1,1,0.494563427,0.760051483,0.9049246
201500014,3,1,3,2,1,1,0,0,1,1,-0.314864926,1.042300961,0.309744701
201500015,,,,,,,,,,,,,
201500016,,,,,,,,,,,,,
201500017,,,,,,,,,,,,,
201500018,,,,,,,,,,,,,
201500019,,,,,,,,,,,,,
201500020,,,,,,,,,,,,,
201500021,,,,,,,,,,,,,
201500022,,,,,,,,,,,,,
201500023,,,,,,,,,,,,,
201500024,,,,,,,,,,,,,
201500025,3,1,2,1,0,1,0,1,1,1,-0.047511275,0.546206542,0.784658508
201500026,,,,,,,,,,,,,
201500027,,,,,,,,,,,,,
201500028,,,,,,,,,,,,,
201500029,,,,,,,,,,,,,
201500030,5,1,5,1,0,1,0,0,1,1,-0.944016623,0.750151087,1.737198053
201500031,,,,,,,,,,,,,
201500032,,,,,,,,,,,,,
201500033,,,,,,,,,,,,,
201500034,,,,,,,,,,,,,
201500035,,,,,,,,,,,,,
201500036,,,,,,,,,,,,,
201500037,,,,,,,,,,,,,
201500038,2,0,3,1,0,1,0,1,1,1,0.124033266,0.686413552,-1.057704082
201500039,,,,,,,,,,,,,
201500040,,,,,,,,,,,,,
201500041,,,,,,,,,,,,,
201500042,,,,,,,,,,,,,
201500043,,,,,,,,,,,,,
201500044,,,,,,,,,,,,,
201500045,,,,,,,,,,,,,
201500046,,,,,,,,,,,,,
201500047,,,,,,,,,,,,,
201500048,4,0,2,1,0,1,0,0,1,1,-0.772472082,0.890358096,-0.105164538
201500049,,,,,,,,,,,,,
201500050,,,,,,,,,,,,,
201500051,,,,,,,,,,,,,
201500052,,,,,,,,,,,,,
201500053,4,0,1,2,1,1,0,0,1,1,-0.201371715,1.130304681,-0.500804927
201500054,,,,,,,,,,,,,
201500055,,,,,,,,,,,,,
201500056,,,,,,,,,,,,,
201500057,,,,,,,,,,,,,
201500058,,,,,,,,,,,,,
201500059,,,,,,,,,,,,,
201500060,,,,,,,,,,,,,
201500061,,,,,,,,,,,,,
201500062,,,,,,,,,,,,,
201500063,,,,,,,,,,,,,
201500064,,,,,,,,,,,,,
201500065,,,,,,,,,,,,,
201500066,,,,,,,,,,,,,
201500067,1,0,1,2,1,1,0,1,1,1,0.724159298,0.952461781,-1.969250953
201500068,,,,,,,,,,,,,
201500069,,,,,,,,,,,,,
201500070,,,,,,,,,,,,,
201500071,,,,,,,,,,,,,
201500074,,,,,,,,,,,,,
201500075,,,,,,,,,,,,,
201500076,3,0,2,2,1,1,0,0,1,1,-0.17234605,1.156406325,-1.016711408
201500077,,,,,,,,,,,,,
201500078,,,,,,,,,,,,,
201500079,,,,,,,,,,,,,
201500080,,,,,,,,,,,,,
201500082,,,,,,,,,,,,,
201500083,,,,,,,,,,,,,
201500084,,,,,,,,,,,,,
201500085,,,,,,,,,,,,,
201500086,,,,,,,,,,,,,
201500087,,,,,,,,,,,,,
201500088,,,,,,,,,,,,,
201500089,,,,,,,,,,,,,
201500090,,,,,,,,,,,,,
201500091,,,,,,,,,,,,,
201500093,2,0,3,2,1,1,0,0,1,1,-0.143320385,1.18250797,-1.53261789
201500095,,,,,,,,,,,,,
201500096,4,1,2,2,1,1,1,1,1,1,1.365961,0.444336203,1.083221746
201500097,,,,,,,,,,,,,
201500098,,,,,,,,,,,,,
201500099,,,,,,,,,,,,,
201500100,,,,,,,,,,,,,
201500101,,,,,,,,,,,,,
201500102,,,,,,,,,,,,,
201500103,,,,,,,,,,,,,
201500104,,,,,,,,,,,,,
201500106,,,,,,,,,,,,,
201500109,4,0,2,2,1,1,0,0,1,1,-0.201371715,1.130304681,-0.500804927
201500110,,,,,,,,,,,,,
201500111,,,,,,,,,,,,,
201500112,,,,,,,,,,,,,
201500113,4,0,1,2,0,1,0,0,0,1,-0.669839145,-0.154366359,-0.024282187
201500114,5,1,2,2,0,1,0,0,0,0,-0.741603816,-1.487235988,1.809462718
201500115,,,,,,,,,,,,,
201500116,,,,,,,,,,,,,
201500117,,,,,,,,,,,,,
201500118,,,,,,,,,,,,,
201500120,,,,,,,,,,,,,
201500121,,,,,,,,,,,,,
201500122,,,,,,,,,,,,,
201500123,,,,,,,,,,,,,
201500125,,,,,,,,,,,,,
201500126,,,,,,,,,,,,,
201500127,,,,,,,,,,,,,
201500128,,,,,,,,,,,,,
201500129,,,,,,,,,,,,,
201500130,4,0,4,1,1,1,0,0,0,1,-0.098738777,0.085580226,-0.419922576
201500131,,,,,,,,,,,,,
201500132,,,,,,,,,,,,,
201500133,,,,,,,,,,,,,
201500134,,,,,,,,,,,,,
201500135,,,,,,,,,,,,,
201500136,4,1,3,1,0,1,0,1,0,1,0.026095998,-0.524619557,1.38144734
201500137,,,,,,,,,,,,,
201500138,,,,,,,,,,,,,
201500139,,,,,,,,,,,,,
201500140,,,,,,,,,,,,,
201500141,,,,,,,,,,,,,
201500142,,,,,,,,,,,,,
201500143,,,,,,,,,,,,,
201500144,,,,,,,,,,,,,
201500145,,,,,,,,,,,,,
201500146,,,,,,,,,,,,,
201500147,,,,,,,,,,,,,
201500148,,,,,,,,,,,,,
201500149,,,,,,,,,,,,,
201500150,,,,,,,,,,,,,
201500151,,,,,,,,,,,,,
201500152,,,,,,,,,,,,,
201500153,,,,,,,,,,,,,
201500154,,,,,,,,,,,,,
201500155,,,,,,,,,,,,,
201500157,,,,,,,,,,,,,
201500158,,,,,,,,,,,,,
201500159,,,,,,,,,,,,,
201500161,,,,,,,,,,,,,
201500162,,,,,,,,,,,,,
201500163,,,,,,,,,,,,,
201500164,,,,,,,,,,,,,
201500165,,,,,,,,,,,,,
201500166,,,,,,,,,,,,,
201500167,,,,,,,,,,,,,
201500168,,,,,,,,,,,,,
201500169,,,,,,,,,,,,,
201500170,,,,,,,,,,,,,
201500171,,,,,,,,,,,,,
201500172,5,1,1,2,,,,,1,1,,,
201500173,,,,,,,,,,,,,
201500174,4,0,3,2,1,1,1,1,1,1,1.508479876,0.558441568,-0.243234363
201500175,,,,,,,,,,,,,
201500176,5,1,5,1,1,1,1,1,0,1,1.439568273,-0.626489896,1.680010579
201500177,,,,,,,,,,,,,
201500178,,,,,,,,,,,,,
201500179,,,,,,,,,,,,,
201500180,,,,,,,,,,,,,
201500181,,,,,,,,,,,,,
201500182,,,,,,,,,,,,,
201500183,3,0,3,2,0,0,0,0,1,1,-1.332440082,0.467026824,-0.414550225
201500184,,,,,,,,,,,,,
201500186,,,,,,,,,,,,,
201500187,,,,,,,,,,,,,
201500188,,,,,,,,,,,,,
201500189,,,,,,,,,,,,,
201500191,,,,,,,,,,,,,
201500192,,,,,,,,,,,,,
201500193,,,,,,,,,,,,,
201500194,5,0,2,,1,1,0,0,1,1,-0.23039738,1.104203036,0.015101555
201500195,,,,,,,,,,,,,
