date,loan_rate(0.5),loan_rate(1),loan_rate(1-3),loan_rate(3-5),loan_rate(5)
1989/2/1,9,10.08,10.8,11.52,11.88
1989/6/1,9,10.08,10.8,11.52,11.88
1990/4/15,9,10.08,10.8,11.52,11.88
1990/8/21,8.64,9.36,10.08,10.8,11.16
1991/3/21,11.34,11.34,12.78,14.4,19.26
1991/4/21,8.1,8.64,9,9.54,9.72
1993/5/15,8.82,9.36,10.8,12.06,12.24
1993/7/11,9,10.98,12.24,13.86,14.04
1995/1/1,9,10.98,12.96,14.58,14.76
1995/7/1,10.08,12.06,13.5,15.12,15.3
1996/5/1,9.72,10.98,13.14,14.94,15.12
1996/8/23,9.18,10.08,10.98,11.7,12.42
1997/10/23,7.65,8.64,9.36,9.9,10.53
1998/3/25,7.02,7.92,9,9.72,10.35
1998/7/1,6.57,6.93,7.11,7.65,8.01
1998/12/7,6.12,6.39,6.66,7.2,7.56
1999/6/10,5.58,5.85,5.94,6.03,6.21
2002/2/21,5.04,5.31,5.49,5.58,5.76
2004/10/29,5.22,5.58,5.76,5.85,6.12
2006/4/28,5.4,5.85,6.03,6.12,6.39
2006/8/19,5.58,6.12,6.3,6.48,6.84
2007/3/18,5.67,6.39,6.57,6.75,7.11
2007/5/19,5.85,6.57,6.75,6.93,7.2
2007/7/21,6.03,6.84,7.02,7.2,7.38
2007/8/22,6.21,7.02,7.2,7.38,7.56
2007/9/15,6.48,7.29,7.47,7.65,7.83
2007/12/21,6.57,7.47,7.56,7.74,7.83
2008/9/16,6.21,7.2,7.29,7.56,7.74
2008/10/9,6.12,6.93,7.02,7.29,7.47
2008/10/30,6.03,6.66,6.75,7.02,7.2
2008/11/27,5.04,5.58,5.67,5.94,6.12
2008/12/23,4.86,5.31,5.4,5.76,5.94
2010/10/20,5.1,5.56,5.6,5.96,6.14
2010/12/26,5.35,5.81,5.85,6.22,6.4
2011/2/9,5.6,6.06,6.1,6.45,6.6
2011/4/6,5.85,6.31,6.4,6.65,6.8
2011/7/7,6.1,6.56,6.65,6.9,7.05
2012/6/8,5.85,6.31,6.4,6.65,6.8
2012/7/6,5.6,6,6.15,6.4,6.55
2014/11/22,5.6,6,6.15,6.4,6.15
2015/3/1,5.6,6,6.15,6.4,5.9
2015/5/11,5.6,6,6.15,6.4,5.65
2015/6/28,5.6,6,6.15,6.4,5.4
2015/8/26,5.6,6,6.15,6.4,5.15
2015/10/24,5.6,6,6.15,6.4,4.9
