date,reserve_rate,excess_rate,loan_rate_annual,loan_rate_quarter,loan_rate_20days
1991/4/21,6.12,6.12,7.2,7.2,7.2
1993/5/15,7.56,7.56,9,8.64,8.46
1993/7/11,9.18,9.18,10.62,10.26,10.08
1995/1/1,9.18,9.18,10.89,10.44,10.26
1995/7/1,9.18,9.18,11.16,10.62,10.44
1996/5/1,8.82,8.82,10.98,10.08,9
1996/8/23,8.28,7.92,10.62,9.72,9
1997/10/23,7.56,7.02,9.36,8.82,8.55
1998/3/21,5.22,5.22,7.92,6.84,6.39
1998/7/1,3.51,3.51,5.67,5.49,5.22
1998/12/7,3.24,3.24,5.13,4.86,4.59
1999/6/10,2.07,2.07,3.78,3.51,3.24
2001/9/11,2.07,2.07,3.78,3.51,3.24
2002/2/21,1.89,1.89,3.24,2.97,2.7
2003/12/21,1.89,1.62,3.24,2.97,2.7
2004/3/25,1.89,1.62,3.87,3.6,3.33
2005/3/17,1.89,0.99,3.87,3.6,3.33
2008/1/1,1.89,0.99,4.68,4.41,4.14
2008/11/27,1.62,0.72,3.6,3.33,3.06
2008/12/23,1.62,0.72,3.33,3.06,2.79
2010/12/26,1.62,0.72,3.85,3.55,3.25
2014/12/29,1.62,0.72,3.85,3.55,3.25
2015/5/28,1.62,0.72,3.85,3.55,3.25
2015/11/6,1.62,0.72,3.5,3.2,2.9
